BN,Preis
030081,5.50
030091,5.50
030101,5.50
030221,6.50
030231,6.50
030311,6.50
030321,6.50
050011,6.50
050021,6.50
050111,4.50
050121,4.50
050131,5.50
050211,4.50
050221,6.50
050241,7.00
050341,6.50
050371,7.50
050411,5.50
050421,5.50
050431,5.50
050471,5.50
050481,5.50
050611,6.50
050711,5.50
050721,5.50
055081,5.50
055091,5.50
055101,5.50
055111,5.50
055121,5.50
060011,5.50
060021,7.50
060061,5.50
060111,7.50
060131,7.50
060151,7.50
060211,5.50
060221,14.00
060411,6.50
080001,7.00
100001,6.50
110351,6.50
110361,6.50
110371,6.50
110381,6.50
110391,6.50
110401,6.50
200551,4.50
200701,5.50
200861,6.50
210101,5.50
210571,6.50
210711,6.50
210721,6.50
211031,6.50
211211,6.50
220051,7.00
220611,6.50
336701,5.50
337701,7.00
